No.,x,y,Power (MW),std dev.
38,-3,-3,1.64023641625413,2.41712215525186E-05
39,-2,-3,1.98383482587637,2.98355961760961E-05
40,5,-3,2.16638679044372,3.59859855229005E-05
41,6,-3,1.82204994663843,3.19018974828268E-05
42,7,-3,1.51927538909122,2.99015768603582E-05
43,8,-3,1.34683800357098,3.05923626345692E-05
44,-5,-2,1.3457540532915,2.29348377380608E-05
45,-3,-2,1.95131050265701,3.00471914695883E-05
46,5,-2,2.19709821312206,3.094375877601E-05
47,7,-2,1.57292880673245,2.71689510202258E-05
48,-6,-1,1.31604364346524,2.27621228395166E-05
49,-5,-1,1.57936496380794,2.17036420976101E-05
50,-4,-1,1.91567373531696,2.34215460358364E-05
51,5,-1,2.25934949561192,3.0340164678165E-05
52,6,-1,1.89723987766873,2.53619445942071E-05
53,7,-1,1.58828405782341,2.65930852904444E-05
54,-7,0,1.21134044476505,2.69813356132377E-05
55,-6,0,1.49623917000089,2.65473178045303E-05
56,-5,0,1.87338576306417,3.11570977756421E-05
57,5,0,2.23953081556129,3.43804344250246E-05
58,6,0,1.79483270952301,2.51714775210845E-05
59,7,0,1.51885551439317,2.93956060119781E-05
60,-7,1,1.3341372675245,2.48599978687902E-05
61,-6,1,1.61810018891845,2.62773473661957E-05
62,-5,1,1.93339679295801,3.02152413515099E-05
63,4,1,2.24149050806255,2.82364267161525E-05
64,5,1,1.88490030311281,2.59049402074081E-05
65,6,1,1.59432868298085,2.82608420087028E-05
66,-7,2,1.31348686460216,2.30706385793252E-05
67,-5,2,1.94064930909205,2.99371053510667E-05
68,3,2,2.20486743056726,2.58947559102274E-05
69,5,2,1.52164158498311,2.50325067758048E-05
70,-8,3,1.19834269128944,2.61850550956532E-05
71,-7,3,1.30253857856684,2.19113296862613E-05
72,-6,3,1.61648117084655,2.29463212850117E-05
73,-5,3,1.9730920452985,2.81027688334229E-05
74,2,3,2.15518442738059,2.41974021982736E-05
75,3,3,1.79490496383689,2.37086915359784E-05
76,4,3,1.47942469335581,2.26286291384359E-05
77,5,3,1.29407933320456,3.11535200004013E-05
78,-8,4,1.09620597451338,2.49785680225493E-05
79,-7,4,1.31503738524134,2.49091657318805E-05
80,-5,4,1.97587546638797,3.21859909574554E-05
81,1,4,2.07851477810862,3.04113182774583E-05
82,3,4,1.46475558987361,2.41208943729549E-05
83,4,4,1.24990313926293,2.51191090718864E-05
84,-8,5,1.2144037609153,3.41596773553294E-05
85,-7,5,1.40505392360289,3.27165829780278E-05
86,-6,5,1.6805141743329,3.07840871078938E-05
87,-5,5,1.98709597597039,3.44657343214576E-05
88,-4,5,2.04839088055816,3.36104781479171E-05
89,-3,5,2.04794973828726,3.29718858446816E-05
90,-2,5,2.04732690417494,2.84785944622189E-05
91,-1,5,1.99215567798995,2.49705952341455E-05
92,0,5,1.99960908495501,2.67165377464733E-05
93,1,5,1.73089635772158,2.39020095704808E-05
94,2,5,1.48884541340739,2.3362871221701E-05
95,3,5,1.2806587786682,2.6221343148882E-05
96,-7,6,1.43248248637474,3.37545475912615E-05
97,-6,6,1.63064651898866,3.07385085108429E-05
98,-5,6,1.73255413660559,2.91718783426067E-05
99,-3,6,1.68303258609577,2.63905722597994E-05
100,-1,6,1.6929591470272,2.52666050137951E-05
101,0,6,1.64339993637485,2.48109090774967E-05
102,1,6,1.49866918125662,2.40457099995244E-05
103,-7,7,1.32277465948451,3.10897016802304E-05
104,-6,7,1.4684850473743,3.08890012767429E-05
105,-5,7,1.44766729458596,2.84097760866824E-05
106,-4,7,1.4000158036935,2.38904095806167E-05
107,-3,7,1.42759193710514,2.16002266550537E-05
108,-2,7,1.41904681299151,2.26096369338352E-05
109,-1,7,1.48471691905476,2.50642088288943E-05
110,0,7,1.37256917223857,2.43473973030966E-05
111,-5,8,1.230542806936,2.42747753003761E-05
112,-4,8,1.19506406912463,2.12364906839927E-05
113,-3,8,1.25331424608803,2.91595618769458E-05
